-> To import the database, do the following in command line:

$ mysqladmin create ULVZ_DB
$ mysql ULVZ_DB < ULVZ_DB.MariaDB.sql

-> An ascii format of the database:

+------+-----------+-------+--------+-------+-----------+-------------------------------+-----------------+---------------------------------------------------------------+--------+-------+--------+-----------------------------------------------------------------------------------------------------------------------------------------+
| Ref  | Code      | dVp   | dVs    | dRho  | Thickness | PaperName                     | Phase_Method    | Region_Detection                                              | Period | Dist  | Az     | Notes                                                                                                                                   |
|   67 | SAF       |  NULL |   NULL |  NULL |      NULL | Sun et al. [2009]             | SKS-SKKS(t)     | South Africa(w)                                               |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   70 | C1_2      |  NULL |    -30 |  NULL |        20 | Zhao et al. [2017]            | ScS(w)          | Central Pacific(y)                                            |    8.2 |  77.5 |   42.6 | NULL                                                                                                                                    |
|   70 | C3_6      |  NULL |    -30 |  NULL |        10 | Zhao et al. [2017]            | ScS(w)          | Central Pacific(y)                                            |    8.2 |  77.5 |   42.6 | NULL                                                                                                                                    |
|   70 | C4_5      |  NULL |    -30 |  NULL |        14 | Zhao et al. [2017]            | ScS(w)          | Central Pacific(y)                                            |    8.2 |  77.5 |   42.6 | NULL                                                                                                                                    |
|   72 | SA        |  NULL |   NULL |  NULL |      NULL | Vanacore et al. [2016]        | SKS[SPdKS](w)   | South America(w)                                              |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   72 | WP        |  NULL |   NULL |  NULL |      NULL | Vanacore et al. [2016]        | SKS[SPdKS](w)   | West Pacific(w)                                               |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   72 | SSI       |   -10 |    -30 |    10 |        10 | Vanacore et al. [2016]        | SKS[SPdKS](w)   | SSouth Atlantic(y)                                            |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   73 | PHI       |  NULL |    -35 |     5 |         5 | Pachhai et al. [2015]         | ScP(w)          | Philippine Sea(y)                                             |    1.3 |  34.7 |    9.3 | NULL                                                                                                                                    |
|   73 | Coral     |  NULL |   NULL |  NULL |      NULL | Pachhai et al. [2015]         | ScP(w)          | Tasman Sea(y)                                                 |    1.3 |  26.8 |  -90.3 | NULL                                                                                                                                    |
|   74 | Coral     |   -23 |    -24 |     6 |       8.5 | Brown et al. [2015]           | ScP(w)          | Coral Sea(y)                                                  |  0.625 |    42 |   -100 | NULL                                                                                                                                    |
+------+-----------+-------+--------+-------+-----------+-------------------------------+-----------------+---------------------------------------------------------------+--------+-------+--------+-----------------------------------------------------------------------------------------------------------------------------------------+
